Energy
(MeV)	Nuclear Stopping Power
(MeV cm2 g-1)
1.0000e-05	2.5046e+02
1.5000e-05	3.0705e+02
2.0000e-05	3.5273e+02
2.5000e-05	3.9141e+02
3.0000e-05	4.2511e+02
3.5000e-05	4.5506e+02
4.0000e-05	4.8204e+02
4.5000e-05	5.0663e+02
5.0000e-05	5.2922e+02
5.5000e-05	5.5013e+02
6.0000e-05	5.6959e+02
6.5000e-05	5.8779e+02
7.0000e-05	6.0488e+02
7.5000e-05	6.2100e+02
8.0000e-05	6.3624e+02
8.5000e-05	6.5069e+02
9.0000e-05	6.6443e+02
9.5000e-05	6.7753e+02
1.0000e-04	6.9003e+02
1.5000e-04	7.9092e+02
2.0000e-04	8.6348e+02
2.5000e-04	9.1931e+02
3.0000e-04	9.6405e+02
3.5000e-04	1.0009e+03
4.0000e-04	1.0319e+03
4.5000e-04	1.0583e+03
5.0000e-04	1.0811e+03
5.5000e-04	1.1010e+03
6.0000e-04	1.1184e+03
6.5000e-04	1.1338e+03
7.0000e-04	1.1474e+03
7.5000e-04	1.1596e+03
8.0000e-04	1.1704e+03
8.5000e-04	1.1801e+03
9.0000e-04	1.1889e+03
9.5000e-04	1.1967e+03
1.0000e-03	1.2037e+03
1.5000e-03	1.2447e+03
2.0000e-03	1.2558e+03
2.5000e-03	1.2527e+03
3.0000e-03	1.2422e+03
3.5000e-03	1.2276e+03
4.0000e-03	1.2107e+03
4.5000e-03	1.1926e+03
5.0000e-03	1.1739e+03
5.5000e-03	1.1551e+03
6.0000e-03	1.1364e+03
6.5000e-03	1.1179e+03
7.0000e-03	1.0998e+03
7.5000e-03	1.0821e+03
8.0000e-03	1.0649e+03
8.5000e-03	1.0482e+03
9.0000e-03	1.0320e+03
9.5000e-03	1.0163e+03
1.0000e-02	1.0010e+03
1.5000e-02	8.7222e+02
2.0000e-02	7.7620e+02
2.5000e-02	7.0192e+02
3.0000e-02	6.4256e+02
3.5000e-02	5.9387e+02
4.0000e-02	5.5310e+02
4.5000e-02	5.1837e+02
5.0000e-02	4.8837e+02
5.5000e-02	4.6215e+02
6.0000e-02	4.3901e+02
6.5000e-02	4.1840e+02
7.0000e-02	3.9992e+02
7.5000e-02	3.8322e+02
8.0000e-02	3.6806e+02
8.5000e-02	3.5422e+02
9.0000e-02	3.4153e+02
9.5000e-02	3.2983e+02
1.0000e-01	3.1903e+02
1.5000e-01	2.4302e+02
2.0000e-01	1.9865e+02
2.5000e-01	1.6916e+02
3.0000e-01	1.4798e+02
3.5000e-01	1.3194e+02
4.0000e-01	1.1931e+02
4.5000e-01	1.0910e+02
5.0000e-01	1.0064e+02
5.5000e-01	9.3504e+01
6.0000e-01	8.7401e+01
6.5000e-01	8.2112e+01
7.0000e-01	7.7481e+01
7.5000e-01	7.3388e+01
8.0000e-01	6.9742e+01
8.5000e-01	6.6471e+01
9.0000e-01	6.3519e+01
9.5000e-01	6.0840e+01
1.0000e+00	5.8396e+01
1.5000e+00	4.2084e+01
2.0000e+00	3.3241e+01
2.5000e+00	2.7633e+01
3.0000e+00	2.3736e+01
3.5000e+00	2.0858e+01
4.0000e+00	1.8639e+01
4.5000e+00	1.6873e+01
5.0000e+00	1.5430e+01
5.5000e+00	1.4229e+01
6.0000e+00	1.3212e+01
6.5000e+00	1.2339e+01
7.0000e+00	1.1580e+01
7.5000e+00	1.0915e+01
8.0000e+00	1.0326e+01
8.5000e+00	9.8018e+00
9.0000e+00	9.3300e+00
9.5000e+00	8.9014e+00
1.0000e+01	8.5130e+00
1.5000e+01	5.9832e+00
2.0000e+01	4.6589e+00
2.5000e+01	3.8371e+00
3.0000e+01	3.2674e+00
3.5000e+01	2.8485e+00
4.0000e+01	2.5287e+00
4.5000e+01	2.2762e+00
5.0000e+01	2.0715e+00
5.5000e+01	1.9021e+00
6.0000e+01	1.7594e+00
6.5000e+01	1.6376e+00
7.0000e+01	1.5323e+00
7.5000e+01	1.4403e+00
8.0000e+01	1.3592e+00
8.5000e+01	1.2871e+00
9.0000e+01	1.2227e+00
9.5000e+01	1.1648e+00
1.0000e+02	1.1123e+00
