Z2	VF      A1	    A2	        A3	    A4	    A5	    A6	    A7	    A8
1	1.00000	0.01217	0.0053358	1.12874	0.36420	1120.70	1.12128	2477.31	0.009771
2	1.00000	0.48900	0.0050512	0.86135	0.46741	745.38	1.04227	7988.39	0.033329
3	0.59782	0.85837	0.0050147	1.60445	0.38844	1337.30	1.04703	2659.23	0.018980
4	1.07810	0.87810	0.0051049	5.42316	0.20320	1200.62	1.02111	1401.84	0.038529
5	1.04860	1.46080	0.0048836	2.33802	0.44249	1801.27	1.03522	1784.12	0.020240
6	1.00000	2.10544	0.0049079	2.08723	0.46258	1779.22	1.01472	2324.45	0.020269
7	1.00000	0.64564	0.0050829	4.09503	0.33879	2938.49	1.04017	2911.08	0.010722
8	1.00000	0.75109	0.0050300	3.93983	0.34620	2287.85	1.01171	3997.24	0.018427
9	1.00000	1.30187	0.0051414	3.82737	0.28151	2829.94	1.02762	7831.30	0.020940
10	1.00000	4.73391	0.0044506	0.02986	1.49404	1825.36	0.97896	130.76	0.021577
