PSTAR: Stopping Powers and Range Tables for Protons

HYDROGEN                                                                

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 9.730E+02 
1.500E-03 1.087E+03 
2.000E-03 1.197E+03 
2.500E-03 1.300E+03 
3.000E-03 1.398E+03 
4.000E-03 1.578E+03 
5.000E-03 1.741E+03 
6.000E-03 1.890E+03 
7.000E-03 2.030E+03 
8.000E-03 2.161E+03 
9.000E-03 2.284E+03 
1.000E-02 2.402E+03 
1.250E-02 2.621E+03 
1.500E-02 2.807E+03 
1.750E-02 2.968E+03 
2.000E-02 3.107E+03 
2.250E-02 3.229E+03 
2.500E-02 3.335E+03 
2.750E-02 3.427E+03 
3.000E-02 3.506E+03 
3.500E-02 3.633E+03 
4.000E-02 3.723E+03 
4.500E-02 3.783E+03 
5.000E-02 3.818E+03 
5.500E-02 3.833E+03 
6.000E-02 3.831E+03 
6.500E-02 3.816E+03 
7.000E-02 3.789E+03 
7.500E-02 3.753E+03 
8.000E-02 3.710E+03 
8.500E-02 3.661E+03 
9.000E-02 3.608E+03 
9.500E-02 3.552E+03 
1.000E-01 3.493E+03 
1.250E-01 3.188E+03 
1.500E-01 2.895E+03 
1.750E-01 2.633E+03 
2.000E-01 2.406E+03 
2.250E-01 2.207E+03 
2.500E-01 2.034E+03 
2.750E-01 1.884E+03 
3.000E-01 1.755E+03 
3.500E-01 1.546E+03 
4.000E-01 1.385E+03 
4.500E-01 1.260E+03 
5.000E-01 1.160E+03 
5.500E-01 1.078E+03 
6.000E-01 1.009E+03 
6.500E-01 9.481E+02 
7.000E-01 8.952E+02 
7.500E-01 8.485E+02 
8.000E-01 8.068E+02 
8.500E-01 7.695E+02 
9.000E-01 7.357E+02 
9.500E-01 7.051E+02 
1.000E+00 6.771E+02 
1.250E+00 5.673E+02 
1.500E+00 4.902E+02 
1.750E+00 4.329E+02 
2.000E+00 3.885E+02 
2.250E+00 3.530E+02 
2.500E+00 3.238E+02 
2.750E+00 2.995E+02 
3.000E+00 2.788E+02 
3.500E+00 2.455E+02 
4.000E+00 2.197E+02 
4.500E+00 1.992E+02 
5.000E+00 1.825E+02 
5.500E+00 1.685E+02 
6.000E+00 1.567E+02 
6.500E+00 1.465E+02 
7.000E+00 1.377E+02 
7.500E+00 1.299E+02 
8.000E+00 1.230E+02 
8.500E+00 1.169E+02 
9.000E+00 1.114E+02 
9.500E+00 1.065E+02 
1.000E+01 1.019E+02 
1.250E+01 8.444E+01 
1.500E+01 7.239E+01 
1.750E+01 6.356E+01 
2.000E+01 5.679E+01 
2.500E+01 4.707E+01 
2.750E+01 4.346E+01 
3.000E+01 4.041E+01 
3.500E+01 3.554E+01 
4.000E+01 3.182E+01 
4.500E+01 2.887E+01 
5.000E+01 2.649E+01 
5.500E+01 2.451E+01 
6.000E+01 2.285E+01 
6.500E+01 2.143E+01 
7.000E+01 2.020E+01 
7.500E+01 1.913E+01 
8.000E+01 1.818E+01 
8.500E+01 1.734E+01 
9.000E+01 1.659E+01 
9.500E+01 1.591E+01 
1.000E+02 1.530E+01 
1.250E+02 1.295E+01 
1.500E+02 1.135E+01 
1.750E+02 1.020E+01 
2.000E+02 9.328E+00 
2.250E+02 8.645E+00 
2.500E+02 8.096E+00 
2.750E+02 7.645E+00 
3.000E+02 7.269E+00 
3.500E+02 6.679E+00 
4.000E+02 6.238E+00 
4.500E+02 5.897E+00 
5.000E+02 5.627E+00 
5.500E+02 5.409E+00 
6.000E+02 5.230E+00 
6.500E+02 5.081E+00 
7.000E+02 4.955E+00 
7.500E+02 4.848E+00 
8.000E+02 4.757E+00 
8.500E+02 4.678E+00 
9.000E+02 4.609E+00 
9.500E+02 4.549E+00 
1.000E+03 4.497E+00 
1.500E+03 4.213E+00 
2.000E+03 4.125E+00 
2.500E+03 4.107E+00 
3.000E+03 4.118E+00 
4.000E+03 4.172E+00 
5.000E+03 4.240E+00 
6.000E+03 4.307E+00 
7.000E+03 4.372E+00 
8.000E+03 4.431E+00 
9.000E+03 4.487E+00 
1.000E+04 4.539E+00 
