#  (Energy -       Probability
#   384.3 keV)    
#
 -0.8100000      0.0000000E+00
 -0.7100000      0.0000000E+00
 -0.6100000      1.9999999E-05
 -0.5100000      2.2000000E-04
 -0.4100000      1.8700000E-03
 -0.3100000      1.1520000E-02
 -0.2100000      5.0650001E-02
 -0.1100000      0.1585500    
 -1.0000005E-02  0.3544200    
  8.9999996E-02  0.5741700    
  0.1900000      0.6984100    
  0.2900000      0.6843100    
  0.3900000      0.6002300    
  0.4900000      0.5212700    
  0.5900000      0.4671500    
  0.6900000      0.4284100    
  0.7900000      0.3961800    
  0.8900000      0.3672000    
  0.9900000      0.3406000    
   1.090000      0.3160300    
   1.190000      0.2933000    
   1.290000      0.2722400    
   1.390000      0.2527100    
   1.490000      0.2346000    
   1.590000      0.2177800    
   1.690000      0.2021600    
   1.790000      0.1876500    
   1.890000      0.1741800    
   1.990000      0.1616600    
   2.090000      0.1500400    
   2.190000      0.1392400    
   2.290000      0.1292100    
   2.390000      0.1198900    
   2.490000      0.1112400    
   2.590000      0.1032000    
   2.690000      9.5739998E-02
   2.790000      8.8809997E-02
   2.890000      8.2379997E-02
   2.990000      7.6410003E-02
   3.090000      7.0869997E-02
   3.190000      6.5729998E-02
   3.290000      6.0950000E-02
   3.390000      5.6520000E-02
   3.490000      5.2409999E-02
   3.590000      4.8590001E-02
   3.690000      4.5049999E-02
   3.790000      4.1770000E-02
   3.890000      3.8720001E-02
   3.990000      3.5900000E-02
   4.090000      3.3280000E-02
   4.190000      3.0850001E-02
   4.290000      2.8589999E-02
   4.390000      2.6500000E-02
   4.490000      2.4569999E-02
   4.590000      2.2770001E-02
   4.690000      2.1100000E-02
   4.790000      1.9560000E-02
   4.890000      1.8120000E-02
   4.990000      1.6790001E-02
   5.090000      1.5560000E-02
   5.190000      1.4420000E-02
   5.290000      1.3360000E-02
   5.390000      1.2380000E-02
   5.490000      1.1470000E-02
   5.590000      1.0630000E-02
   5.690000      9.8500000E-03
   5.790000      9.1300001E-03
   5.890000      8.4600002E-03
   5.990000      7.8299996E-03
   6.090000      7.2599999E-03
   6.190000      6.7300000E-03
   6.290000      6.2299999E-03
   6.390000      5.7700002E-03
   6.490000      5.3500002E-03
   6.590000      4.9500000E-03
   6.690000      4.5900000E-03
   6.790000      4.2500002E-03
   6.890000      3.9400002E-03
   6.990000      3.6500001E-03
   7.090000      3.3799999E-03
   7.190000      3.1300001E-03
   7.290000      2.9000000E-03
   7.390000      2.6900000E-03
